Date,$FutureFlag,SO2,$TS-SO2
2022-01-13,1,,249.595735
2022-01-14,1,,251.179163
2022-01-15,1,,255.721259
2022-01-16,1,,244.232161
2022-01-17,1,,243.78678
2022-01-18,1,,253.164593
2022-01-19,1,,247.559048
2022-01-20,1,,249.595735
2022-01-21,1,,251.179163
2022-01-22,1,,255.721259
2022-01-23,1,,244.232161
2022-01-24,1,,243.78678
2022-01-25,1,,253.164593
2022-01-26,1,,247.559048
2022-01-27,1,,249.595735
2022-01-28,1,,251.179163
2022-01-29,1,,255.721259
2022-01-30,1,,244.232161
2022-01-31,1,,243.78678
2022-02-01,1,,253.164593
2022-02-02,1,,247.559048
2022-02-03,1,,249.595735
2022-02-04,1,,251.179163
2022-02-05,1,,255.721259
2022-02-06,1,,244.232161
2022-02-07,1,,243.78678
2022-02-08,1,,253.164593
2022-02-09,1,,247.559048
2022-02-10,1,,249.595735
2022-02-11,1,,251.179163
2022-02-12,1,,255.721259
2022-02-13,1,,244.232161
2022-02-14,1,,243.78678
2022-02-15,1,,253.164593
2022-02-16,1,,247.559048
2022-02-17,1,,249.595735
2022-02-18,1,,251.179163
2022-02-19,1,,255.721259
2022-02-20,1,,244.232161
2022-02-21,1,,243.78678
2022-02-22,1,,253.164593
2022-02-23,1,,247.559048
2022-02-24,1,,249.595735
2022-02-25,1,,251.179163
2022-02-26,1,,255.721259
2022-02-27,1,,244.232161
2022-02-28,1,,243.78678
2022-03-01,1,,253.164593
2022-03-02,1,,247.559048
2022-03-03,1,,249.595735
2022-03-04,1,,251.179163
2022-03-05,1,,255.721259
2022-03-06,1,,244.232161
2022-03-07,1,,243.78678
2022-03-08,1,,253.164593
2022-03-09,1,,247.559048
2022-03-10,1,,249.595735
2022-03-11,1,,251.179163
2022-03-12,1,,255.721259
2022-03-13,1,,244.232161
2022-03-14,1,,243.78678
2022-03-15,1,,253.164593
2022-03-16,1,,247.559048
2022-03-17,1,,249.595735
2022-03-18,1,,251.179163
2022-03-19,1,,255.721259
2022-03-20,1,,244.232161
2022-03-21,1,,243.78678
2022-03-22,1,,253.164593
2022-03-23,1,,247.559048
2022-03-24,1,,249.595735
2022-03-25,1,,251.179163
2022-03-26,1,,255.721259
2022-03-27,1,,244.232161
2022-03-28,1,,243.78678
2022-03-29,1,,253.164593
2022-03-30,1,,247.559048
2022-03-31,1,,249.595735
2022-04-01,1,,251.179163
2022-04-02,1,,255.721259
2022-04-03,1,,244.232161
2022-04-04,1,,243.78678
2022-04-05,1,,253.164593
2022-04-06,1,,247.559048
2022-04-07,1,,249.595735
2022-04-08,1,,251.179163
2022-04-09,1,,255.721259
2022-04-10,1,,244.232161
2022-04-11,1,,243.78678
2022-04-12,1,,253.164593
2022-04-13,1,,247.559048
2022-04-14,1,,249.595735
2022-04-15,1,,251.179163
2022-04-16,1,,255.721259
2022-04-17,1,,244.232161
2022-04-18,1,,243.78678
2022-04-19,1,,253.164593
2022-04-20,1,,247.559048
2022-04-21,1,,249.595735
2022-04-22,1,,251.179163
2022-04-23,1,,255.721259
2022-04-24,1,,244.232161
2022-04-25,1,,243.78678
2022-04-26,1,,253.164593
2022-04-27,1,,247.559048
2022-04-28,1,,249.595735
2022-04-29,1,,251.179163
2022-04-30,1,,255.721259
2022-05-01,1,,244.232161
2022-05-02,1,,243.78678
2022-05-03,1,,253.164593
2022-05-04,1,,247.559048
2022-05-05,1,,249.595735
2022-05-06,1,,251.179163
2022-05-07,1,,255.721259
2022-05-08,1,,244.232161
2022-05-09,1,,243.78678
2022-05-10,1,,253.164593
2022-05-11,1,,247.559048
2022-05-12,1,,249.595735
2022-05-13,1,,251.179163
2022-05-14,1,,255.721259
2022-05-15,1,,244.232161
2022-05-16,1,,243.78678
2022-05-17,1,,253.164593
2022-05-18,1,,247.559048
2022-05-19,1,,249.595735
2022-05-20,1,,251.179163
2022-05-21,1,,255.721259
2022-05-22,1,,244.232161
2022-05-23,1,,243.78678
2022-05-24,1,,253.164593
2022-05-25,1,,247.559048
2022-05-26,1,,249.595735
2022-05-27,1,,251.179163
2022-05-28,1,,255.721259
2022-05-29,1,,244.232161
2022-05-30,1,,243.78678
2022-05-31,1,,253.164593
2022-06-01,1,,247.559048
2022-06-02,1,,249.595735
2022-06-03,1,,251.179163
2022-06-04,1,,255.721259
2022-06-05,1,,244.232161
2022-06-06,1,,243.78678
2022-06-07,1,,253.164593
2022-06-08,1,,247.559048
2022-06-09,1,,249.595735
2022-06-10,1,,251.179163
2022-06-11,1,,255.721259
2022-06-12,1,,244.232161
2022-06-13,1,,243.78678
2022-06-14,1,,253.164593
2022-06-15,1,,247.559048
2022-06-16,1,,249.595735
2022-06-17,1,,251.179163
2022-06-18,1,,255.721259
2022-06-19,1,,244.232161
2022-06-20,1,,243.78678
2022-06-21,1,,253.164593
2022-06-22,1,,247.559048
2022-06-23,1,,249.595735
2022-06-24,1,,251.179163
2022-06-25,1,,255.721259
2022-06-26,1,,244.232161
2022-06-27,1,,243.78678
2022-06-28,1,,253.164593
2022-06-29,1,,247.559048
2022-06-30,1,,249.595735
2022-07-01,1,,251.179163
2022-07-02,1,,255.721259
2022-07-03,1,,244.232161
2022-07-04,1,,243.78678
2022-07-05,1,,253.164593
2022-07-06,1,,247.559048
2022-07-07,1,,249.595735
2022-07-08,1,,251.179163
2022-07-09,1,,255.721259
2022-07-10,1,,244.232161
2022-07-11,1,,243.78678
2022-07-12,1,,253.164593
2022-07-13,1,,247.559048
2022-07-14,1,,249.595735
2022-07-15,1,,251.179163
2022-07-16,1,,255.721259
2022-07-17,1,,244.232161
2022-07-18,1,,243.78678
2022-07-19,1,,253.164593
2022-07-20,1,,247.559048
2022-07-21,1,,249.595735
2022-07-22,1,,251.179163
2022-07-23,1,,255.721259
2022-07-24,1,,244.232161
2022-07-25,1,,243.78678
2022-07-26,1,,253.164593
2022-07-27,1,,247.559048
2022-07-28,1,,249.595735
2022-07-29,1,,251.179163
2022-07-30,1,,255.721259
2022-07-31,1,,244.232161
2022-08-01,1,,243.78678
2022-08-02,1,,253.164593
2022-08-03,1,,247.559048
2022-08-04,1,,249.595735
2022-08-05,1,,251.179163
2022-08-06,1,,255.721259
2022-08-07,1,,244.232161
2022-08-08,1,,243.78678
2022-08-09,1,,253.164593
2022-08-10,1,,247.559048
2022-08-11,1,,249.595735
2022-08-12,1,,251.179163
2022-08-13,1,,255.721259
2022-08-14,1,,244.232161
2022-08-15,1,,243.78678
2022-08-16,1,,253.164593
2022-08-17,1,,247.559048
2022-08-18,1,,249.595735
2022-08-19,1,,251.179163
2022-08-20,1,,255.721259
2022-08-21,1,,244.232161
2022-08-22,1,,243.78678
2022-08-23,1,,253.164593
2022-08-24,1,,247.559048
2022-08-25,1,,249.595735
2022-08-26,1,,251.179163
2022-08-27,1,,255.721259
2022-08-28,1,,244.232161
