Date,$FutureFlag,NO,$TS-NO
2022-08-03,1,,320.966278
2022-08-04,1,,282.237389
2022-08-05,1,,267.248525
2022-08-06,1,,228.868102
2022-08-07,1,,243.009568
2022-08-08,1,,248.676277
2022-08-09,1,,288.001833
2022-08-10,1,,320.966278
2022-08-11,1,,282.237389
2022-08-12,1,,267.248525
2022-08-13,1,,228.868102
2022-08-14,1,,243.009568
2022-08-15,1,,248.676277
2022-08-16,1,,288.001833
2022-08-17,1,,320.966278
2022-08-18,1,,282.237389
2022-08-19,1,,267.248525
2022-08-20,1,,228.868102
2022-08-21,1,,243.009568
2022-08-22,1,,248.676277
2022-08-23,1,,288.001833
2022-08-24,1,,320.966278
2022-08-25,1,,282.237389
2022-08-26,1,,267.248525
2022-08-27,1,,228.868102
2022-08-28,1,,243.009568
2022-08-29,1,,248.676277
